Groupe ID,Nom du groupe,Type,Écoles
G1,Brigadiers,brigadiers,
G2,Hugo,schools,Hugo EE; HUGO EMPU
G3,"Dottin, Pinhous, Galia",schools,Dottin EE; PINHOUS EMPU; GALIA EMPU
G4,"Ronsard, Buffon",schools,RONSARD EE; BUFFON EMPU
G5,"Hyon, Claudel",schools,HYON EE; CLAUDEL EMPU
G6,Billieres,schools,BILLIERES EE; BILLIERES EMPU AUCH; BILLIERES EMPU DESBALS
G7,"Dieuzaide, Lalande",schools,DIEUZAIDE EMPU; LALANDE EE
G8,Renan,schools,RENAN EE; RENAN EMPU
G9,"Dauriac, Michel",schools,DAURIAC EMPU; DAURIAC EE; MICHEL EMPU
G10,"Monnet, Bastide",schools,MONNET EMPU; BASTIDE EE
G11,Papus,schools,PAPUS EE; PAPUS EMPU
G12,"Heritier, Faucher, Veil",schools,HERITIER EE; FAUCHER EMPU; VEIL EMPU
G13,"Falcucci, Tabar",schools,FALCUCCI EE; FALCUCCI EMPU; TABAR EMPU
G14,"Triolet, Veil",schools,TRIOLET EE; VEIL EE; TRIOLET EMPU
G15,"Buffon, Bastide",schools,BUFFON EE; BASTIDE EMPU
G16,"Pagnol, Daurat",schools,PAGNOL EMPU; PAGNOL EE; DAURAT EMPU; DAURAT EE
